solver_name,total_mazes,success_rate,avg_solve_time,median_solve_time,avg_path_length,first_trial_success_rate,avg_trials_needed,max_trials_needed
OpenAISolver-gpt-4.1-gpt41-ascii,80,7.5,15.353326746821404,15.214426159858704,11.666666666666666,3.75,4.7625,5.0
OpenAISolver-gpt-4.1-gpt41-emoji,80,11.25,16.80150555074215,16.62260091304779,12.777777777777779,5.0,4.65,5.0
OpenAISolver-o4-mini-o4mini-ascii,80,75.0,72.76686272025108,48.47115683555603,23.0,75.0,1.0,1.0
OpenAISolver-o4-mini-o4mini-emoji,80,71.25,67.61419765949249,56.53876185417175,22.649122807017545,71.25,1.0,1.0
MazelibCollisionSolver-collision,80,100.0,0.00021401047706604004,0.00020754337310791016,26.75,,,
MazelibBacktrackingSolver-backtracking,80,100.0,0.00039235353469848635,0.0001844167709350586,26.75,,,
